CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Buin,96614,73428,44718,3052,37677,18175,1398,35751,26543,1654
Calera de Tango,25392,19681,12003,671,9858,4793,285,9823,7210,386
Paine,72759,55587,32755,2318,27790,12533,922,27797,20222,1396
Melipilla,123627,95019,54137,4069,48092,20705,1677,46927,33432,2392
Alhué,6444,5118,3207,196,2280,1002,59,2838,2205,137
Curacaví,32579,25181,14705,979,12705,5844,411,12476,8861,568
María Pinto,13590,10567,6044,392,5233,2129,171,5334,3915,221
San Pedro,9726,7489,4343,188,3450,1369,65,4039,2974,123
Talagante,74237,57193,33727,2465,29078,13662,1019,28115,20065,1446
El Monte,35923,27245,15642,1225,13810,5971,469,13435,9671,756
Isla de Maipo,36219,27632,16038,1045,13883,6083,402,13749,9955,643
Padre Hurtado,63250,48032,28842,2187,24404,11436,894,23628,17406,1293
Peñaflor,90201,68533,39988,3059,35570,16569,1197,32963,23419,1862
Valdivia,166080,132535,73999,4992,69191,32529,2242,63344,41470,2750
Corral,5302,4194,2160,145,2111,796,56,2083,1364,89
Lanco,16752,12737,6499,535,6611,2422,197,6126,4077,338
Los Lagos,19634,15116,7676,601,7615,2586,222,7501,5090,379
Máfil,7095,5394,2792,204,2726,965,75,2668,1827,129
Mariquina,21278,15862,8248,703,8013,2997,260,7849,5251,443
Paillaco,20188,15688,8166,544,7921,2826,223,7767,5340,321
Panguipulli,34539,26263,13224,1185,13276,4751,415,12987,8473,770
La Unión,38036,29328,14760,1186,15076,5413,526,14252,9347,660
Futrono,14665,11046,5623,450,5581,1859,159,5465,3764,291
Lago Ranco,9896,7692,3545,332,3769,1083,111,3923,2462,221
Río Bueno,31372,24513,12385,884,12438,4239,387,12075,8146,497
Arica,221364,167904,95778,7810,85668,40432,3342,82236,55346,4468
Camarones,1255,1042,776,23,431,272,10,611,504,13
Putre,2765,2457,1901,79,575,396,22,1882,1505,57
General Lagos,684,565,384,16,211,107,3,354,277,13
Chillán,184739,145379,75963,7062,77939,33027,2959,67440,42936,4103
Bulnes,21493,16983,8126,663,8854,2991,222,8129,5135,441
Cobquecura,30907,23429,12607,1133,12623,5317,510,10806,7290,623
Coelemu,12044,9589,4460,274,4886,1484,104,4703,2976,170
Coihueco,8448,6746,2835,273,3442,899,71,3304,1936,202
Chillán Viejo,10827,8709,4176,285,4439,1471,91,4270,2705,194
El Carmen,17485,13998,6379,498,7119,2106,185,6879,4273,313
Ninhue,16079,12899,5401,501,6600,1653,173,6299,3748,328
Ñiquén,17787,14108,6815,685,7032,2381,213,7076,4434,472
Pemuco,11594,9248,4375,315,4723,1568,104,4525,2807,211
Pinto,5012,4228,1864,140,2090,661,42,2138,1203,98
